estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status
Amazonas,Alto Orinoco (La Esmeralda),municipio,Amazonas - Alto Orinoco (La Esmeralda),14464,Localidad pequeña,2,1,1,,Desierto,,Desierto,ok
Amazonas,Atabapo,municipio,Amazonas - Atabapo,10711,Localidad pequeña,0,0,0,,Desierto,,Desierto,ok
Amazonas,Atures (Puerto Ayacucho),municipio,Amazonas - Atures (Puerto Ayacucho),132919,Localidad grande,5,5,3,,Desierto,,Desierto,ok
Amazonas,Autana (Isla Ratón),municipio,Amazonas - Autana (Isla Ratón),10191,Localidad pequeña,2,1,2,,Desierto,,Desierto,ok
Amazonas,Manapiare,municipio,Amazonas - Manapiare,9021,Localidad pequeña,0,0,0,,Desierto,,Desierto,ok
Amazonas,Maroa,municipio,Amazonas - Maroa,2370,Localidad pequeña,1,1,1,,Desierto,,Desierto,ok
Amazonas,Río Negro,municipio,Amazonas - Río Negro,2635,Localidad pequeña,2,1,2,,Desierto,,Desierto,ok
Apure,Achaguas,municipio,Apure - Achaguas,72491,Localidad mediana,14,14,5,1,Desierto,,Desierto,ok
Apure,Biruaca,municipio,Apure - Biruaca,68904,Localidad mediana,17,17,7,1,Desierto,,Desierto,ok
Apure,Muñoz (Bruzual),municipio,Apure - Muñoz (Bruzual),32160,Localidad mediana,5,5,4,3,Desierto,,Desierto,ok
Apure,Páez (Guasdualito),municipio,Apure - Páez (Guasdualito),117417,Localidad grande,11,10,8,1,Desierto,,Desierto,ok
Apure,Pedro Camejo (San Juan de Payara),municipio,Apure - Pedro Camejo (San Juan de Payara),37151,Localidad mediana,11,10,7,2,Desierto,,Desierto,ok
Apure,Rómulo Gallegos (Elorza),municipio,Apure - Rómulo Gallegos (Elorza),30901,Localidad mediana,12,12,6,2,Desierto,,Desierto,ok
Apure,San Fernando,municipio,Apure - San Fernando,208479,Localidad grande,19,19,8,2,Desierto,,Desierto,ok
Aragua,Bolívar (San Mateo),municipio,Aragua - Bolívar (San Mateo),36593,Localidad mediana,8,8,2,3,Desierto,,Desierto,ok
Aragua,Camatagua,municipio,Aragua - Camatagua,16934,Localidad pequeña,2,2,0,,Desierto,,Desierto,ok
Aragua,Francisco Linares Alcántara (Santa Rita),municipio,Aragua - Francisco Linares Alcántara (Santa Rita),123140,Localidad grande,13,13,8,5,Desierto,,Desierto,ok
Aragua,Girardot (Maracay),municipio,Aragua - Girardot (Maracay),413704,Localidad grande,18,18,12,7,Semibosque,,Semibosque,ok
Aragua,José Ángel Lamas (Santa Cruz),municipio,Aragua - José Ángel Lamas (Santa Cruz),31961,Localidad mediana,5,5,2,1,Desierto,,Desierto,ok
Aragua,José Félix Ribas (La Victoria),municipio,Aragua - José Félix Ribas (La Victoria),146102,Localidad grande,13,13,6,4,Desierto,,Desierto,ok
Aragua,José Rafael Revenga (El Consejo),municipio,Aragua - José Rafael Revenga (El Consejo),49307,Localidad mediana,7,7,2,3,Desierto,,Desierto,ok
Aragua,Libertador (Palo Negro),municipio,Aragua - Libertador (Palo Negro),113744,Localidad grande,12,12,5,5,Desierto,,Desierto,ok
Aragua,Mario Briceño Iragorry (El Limón),municipio,Aragua - Mario Briceño Iragorry (El Limón),100928,Localidad grande,12,12,6,5,Desierto,,Desierto,ok
Aragua,Ocumare de la Costa,municipio,Aragua - Ocumare de la Costa,13180,Localidad pequeña,4,4,1,,Desierto,,Desierto,ok
Aragua,San Casimiro,municipio,Aragua - San Casimiro,24827,Localidad pequeña,3,3,1,,Desierto,,Desierto,ok
Aragua,San Sebastián,municipio,Aragua - San Sebastián,23147,Localidad pequeña,3,3,1,,Desierto,,Desierto,ok
Aragua,Santiago Mariño (Turmero),municipio,Aragua - Santiago Mariño (Turmero),214068,Localidad grande,19,19,12,7,Semibosque,,Semibosque,ok
Aragua,Santos Michelena (Las Tejerías),municipio,Aragua - Santos Michelena (Las Tejerías),37848,Localidad mediana,6,6,2,2,Desierto,,Desierto,ok
Aragua,Sucre (Cagua),municipio,Aragua - Sucre (Cagua),119605,Localidad grande,10,10,2,3,Desierto,,Desierto,ok
Aragua,Tovar (Colonia Tovar),municipio,Aragua - Tovar (Colonia Tovar),14274,Localidad pequeña,2,2,0,,Desierto,,Desierto,ok
Aragua,Urdaneta (Barbacoas),municipio,Aragua - Urdaneta (Barbacoas),20854,Localidad pequeña,2,2,0,,Desierto,,Desierto,ok
Aragua,Zamora (Villa de Cura),municipio,Aragua - Zamora (Villa de Cura),142084,Localidad grande,2,2,0,,Desierto,,Desierto,ok
Barinas,Alberto Arvelo Torrealba (Sabaneta),municipio,Barinas - Alberto Arvelo Torrealba (Sabaneta),41447,Localidad mediana,22,17,12,2,Desierto,,Desierto,ok
Barinas,Andrés Eloy Blanco (El Cantón),municipio,Barinas - Andrés Eloy Blanco (El Cantón),15592,Localidad pequeña,17,16,7,2,Desierto,,Desierto,ok
Barinas,Antonio José de Sucre (Socopó),municipio,Barinas - Antonio José de Sucre (Socopó),78410,Localidad mediana,27,25,13,2,Desierto,,Desierto,ok
Barinas,Arismendi,municipio,Barinas - Arismendi,27019,Localidad mediana,13,9,7,1,Desierto,,Desierto,ok
Barinas,Barinas,municipio,Barinas - Barinas,370457,Localidad grande,30,30,15,2,Desierto,,Desierto,ok
Barinas,Bolívar (Barinitas),municipio,Barinas - Bolívar (Barinitas),53362,Localidad mediana,25,22,12,2,Desierto,,Desierto,ok
Barinas,Cruz Paredes (Barrancas),municipio,Barinas - Cruz Paredes (Barrancas),25646,Localidad mediana,23,22,13,2,Desierto,,Desierto,ok
Barinas,Ezequiel Zamora (Santa Bárbara),municipio,Barinas - Ezequiel Zamora (Santa Bárbara),52643,Localidad mediana,21,20,11,2,Desierto,,Desierto,ok
