estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status,level_1_code,level_2_code
Amazonas,Alto Orinoco (La Esmeralda),municipio,Amazonas - Alto Orinoco (La Esmeralda),14464,Localidad pequeña,2,1.0,1.0,,Desierto,,Desierto,ok,VE02,VE0201
Amazonas,Atabapo,municipio,Amazonas - Atabapo,10711,Localidad pequeña,0,0.0,0.0,,Desierto,,Desierto,ok,VE02,VE0202
Amazonas,Atures (Puerto Ayacucho),municipio,Amazonas - Atures (Puerto Ayacucho),132919,Localidad grande,5,5.0,3.0,,Desierto,,Desierto,ok,VE02,VE0203
Amazonas,Autana (Isla Ratón),municipio,Amazonas - Autana (Isla Ratón),10191,Localidad pequeña,2,1.0,2.0,,Desierto,,Desierto,ok,VE02,VE0204
Amazonas,Manapiare,municipio,Amazonas - Manapiare,9021,Localidad pequeña,0,0.0,0.0,,Desierto,,Desierto,ok,VE02,VE0206
Amazonas,Maroa,municipio,Amazonas - Maroa,2370,Localidad pequeña,1,1.0,1.0,,Desierto,,Desierto,ok,VE02,VE0205
Amazonas,Río Negro,municipio,Amazonas - Río Negro,2635,Localidad pequeña,2,1.0,2.0,,Desierto,,Desierto,ok,VE02,VE0207
Apure,Achaguas,municipio,Apure - Achaguas,72491,Localidad mediana,14,14.0,5.0,1.0,Desierto,,Desierto,ok,VE04,VE0401
Apure,Biruaca,municipio,Apure - Biruaca,68904,Localidad mediana,17,17.0,7.0,1.0,Desierto,,Desierto,ok,VE04,VE0402
Apure,Muñoz (Bruzual),municipio,Apure - Muñoz (Bruzual),32160,Localidad mediana,5,5.0,4.0,3.0,Desierto,,Desierto,ok,VE04,VE0403
Apure,Páez (Guasdualito),municipio,Apure - Páez (Guasdualito),117417,Localidad grande,11,10.0,8.0,1.0,Desierto,,Desierto,ok,VE04,VE0404
Apure,Pedro Camejo (San Juan de Payara),municipio,Apure - Pedro Camejo (San Juan de Payara),37151,Localidad mediana,11,10.0,7.0,2.0,Desierto,,Desierto,ok,VE04,VE0405
Apure,Rómulo Gallegos (Elorza),municipio,Apure - Rómulo Gallegos (Elorza),30901,Localidad mediana,12,12.0,6.0,2.0,Desierto,,Desierto,ok,VE04,VE0406
Apure,San Fernando,municipio,Apure - San Fernando,208479,Localidad grande,19,19.0,8.0,2.0,Desierto,,Desierto,ok,VE04,VE0407
Aragua,Bolívar (San Mateo),municipio,Aragua - Bolívar (San Mateo),36593,Localidad mediana,8,8.0,2.0,3.0,Desierto,,Desierto,ok,VE05,VE0501
Aragua,Camatagua,municipio,Aragua - Camatagua,16934,Localidad pequeña,2,2.0,0.0,,Desierto,,Desierto,ok,VE05,VE0502
Aragua,Francisco Linares Alcántara (Santa Rita),municipio,Aragua - Francisco Linares Alcántara (Santa Rita),123140,Localidad grande,13,13.0,8.0,5.0,Desierto,,Desierto,ok,VE05,VE0517
Aragua,Girardot (Maracay),municipio,Aragua - Girardot (Maracay),413704,Localidad grande,18,18.0,12.0,7.0,Semibosque,,Semibosque,ok,VE05,VE0503
Aragua,José Ángel Lamas (Santa Cruz),municipio,Aragua - José Ángel Lamas (Santa Cruz),31961,Localidad mediana,5,5.0,2.0,1.0,Desierto,,Desierto,ok,VE05,VE0504
Aragua,José Félix Ribas (La Victoria),municipio,Aragua - José Félix Ribas (La Victoria),146102,Localidad grande,13,13.0,6.0,4.0,Desierto,,Desierto,ok,VE05,VE0505
Aragua,José Rafael Revenga (El Consejo),municipio,Aragua - José Rafael Revenga (El Consejo),49307,Localidad mediana,7,7.0,2.0,3.0,Desierto,,Desierto,ok,VE05,VE0506
Aragua,Libertador (Palo Negro),municipio,Aragua - Libertador (Palo Negro),113744,Localidad grande,12,12.0,5.0,5.0,Desierto,,Desierto,ok,VE05,VE0507
Aragua,Mario Briceño Iragorry (El Limón),municipio,Aragua - Mario Briceño Iragorry (El Limón),100928,Localidad grande,12,12.0,6.0,5.0,Desierto,,Desierto,ok,VE05,VE0508
Aragua,Ocumare de la Costa,municipio,Aragua - Ocumare de la Costa,13180,Localidad pequeña,4,4.0,1.0,,Desierto,,Desierto,ok,VE05,VE0518
Aragua,San Casimiro,municipio,Aragua - San Casimiro,24827,Localidad pequeña,3,3.0,1.0,,Desierto,,Desierto,ok,VE05,VE0509
Aragua,San Sebastián,municipio,Aragua - San Sebastián,23147,Localidad pequeña,3,3.0,1.0,,Desierto,,Desierto,ok,VE05,VE0510
Aragua,Santiago Mariño (Turmero),municipio,Aragua - Santiago Mariño (Turmero),214068,Localidad grande,19,19.0,12.0,7.0,Semibosque,,Semibosque,ok,VE05,VE0511
Aragua,Santos Michelena (Las Tejerías),municipio,Aragua - Santos Michelena (Las Tejerías),37848,Localidad mediana,6,6.0,2.0,2.0,Desierto,,Desierto,ok,VE05,VE0512
Aragua,Sucre (Cagua),municipio,Aragua - Sucre (Cagua),119605,Localidad grande,10,10.0,2.0,3.0,Desierto,,Desierto,ok,VE05,VE0513
Aragua,Tovar (Colonia Tovar),municipio,Aragua - Tovar (Colonia Tovar),14274,Localidad pequeña,2,2.0,0.0,,Desierto,,Desierto,ok,VE05,VE0514
Aragua,Urdaneta (Barbacoas),municipio,Aragua - Urdaneta (Barbacoas),20854,Localidad pequeña,2,2.0,0.0,,Desierto,,Desierto,ok,VE05,VE0515
Aragua,Zamora (Villa de Cura),municipio,Aragua - Zamora (Villa de Cura),142084,Localidad grande,2,2.0,0.0,,Desierto,,Desierto,ok,VE05,VE0516
Barinas,Alberto Arvelo Torrealba (Sabaneta),municipio,Barinas - Alberto Arvelo Torrealba (Sabaneta),41447,Localidad mediana,22,17.0,12.0,2.0,Desierto,,Desierto,ok,VE06,VE0601
Barinas,Andrés Eloy Blanco (El Cantón),municipio,Barinas - Andrés Eloy Blanco (El Cantón),15592,Localidad pequeña,17,16.0,7.0,2.0,Desierto,,Desierto,ok,VE06,VE0612
Barinas,Antonio José de Sucre (Socopó),municipio,Barinas - Antonio José de Sucre (Socopó),78410,Localidad mediana,27,25.0,13.0,2.0,Desierto,,Desierto,ok,VE06,VE0602
Barinas,Arismendi,municipio,Barinas - Arismendi,27019,Localidad mediana,13,9.0,7.0,1.0,Desierto,,Desierto,ok,VE06,VE0603
Barinas,Barinas,municipio,Barinas - Barinas,370457,Localidad grande,30,30.0,15.0,2.0,Desierto,,Desierto,ok,VE06,VE0604
Barinas,Bolívar (Barinitas),municipio,Barinas - Bolívar (Barinitas),53362,Localidad mediana,25,22.0,12.0,2.0,Desierto,,Desierto,ok,VE06,VE0605
Barinas,Cruz Paredes (Barrancas),municipio,Barinas - Cruz Paredes (Barrancas),25646,Localidad mediana,23,22.0,13.0,2.0,Desierto,,Desierto,ok,VE06,VE0606
Barinas,Ezequiel Zamora (Santa Bárbara),municipio,Barinas - Ezequiel Zamora (Santa Bárbara),52643,Localidad mediana,21,20.0,11.0,2.0,Desierto,,Desierto,ok,VE06,VE0607
Barinas,Obispos (Obispos),municipio,Barinas - Obispos (Obispos),36467,Localidad mediana,23,20.0,9.0,1.0,Desierto,,Desierto,ok,VE06,VE0608
Barinas,Pedraza (Ciudad Bolivia),municipio,Barinas - Pedraza (Ciudad Bolivia),66572,Localidad mediana,24,20.0,14.0,2.0,Desierto,,Desierto,ok,VE06,VE0609
Barinas,Rojas (Libertad),municipio,Barinas - Rojas (Libertad),40219,Localidad mediana,15,13.0,9.0,1.0,Desierto,,Desierto,ok,VE06,VE0610
Barinas,Sosa (Ciudad de Nutrias),municipio,Barinas - Sosa (Ciudad de Nutrias),24035,Localidad pequeña,15,12.0,7.0,1.0,Desierto,,Desierto,ok,VE06,VE0611
Carabobo,Bejuma,municipio,Carabobo - Bejuma,46741,Localidad mediana,13,12.0,9.0,6.0,Semibosque,,Semibosque,ok,VE08,VE0801
Carabobo,Carlos Arvelo (Güigüe),municipio,Carabobo - Carlos Arvelo (Güigüe),144284,Localidad grande,7,5.0,5.0,3.0,Desierto,,Desierto,ok,VE08,VE0802
Carabobo,Diego Ibarra (Mariara),municipio,Carabobo - Diego Ibarra (Mariara),101445,Localidad grande,8,6.0,5.0,3.0,Desierto,,Desierto,ok,VE08,VE0803
Carabobo,Guacara,municipio,Carabobo - Guacara,173760,Localidad grande,25,24.0,5.0,9.0,Posible bosque,,Semibosque,ok,VE08,VE0804
Carabobo,Juan José Mora (Morón),municipio,Carabobo - Juan José Mora (Morón),68049,Localidad mediana,12,11.0,7.0,3.0,Desierto,,Desierto,ok,VE08,VE0805
Carabobo,Libertador (Tocuyito),municipio,Carabobo - Libertador (Tocuyito),167492,Localidad grande,24,22.0,6.0,7.0,Semibosque,,Semibosque,ok,VE08,VE0806
Carabobo,Los Guayos,municipio,Carabobo - Los Guayos,147259,Localidad grande,23,21.0,6.0,7.0,Semibosque,,Semibosque,ok,VE08,VE0807
Carabobo,Miranda,municipio,Carabobo - Miranda,28738,Localidad mediana,11,8.0,9.0,5.0,Semidesierto,,Semidesierto,ok,VE08,VE0808
Carabobo,Montalbán,municipio,Carabobo - Montalbán,25719,Localidad mediana,12,9.0,10.0,6.0,Semibosque,,Semibosque,ok,VE08,VE0809
Carabobo,Naguanagua,municipio,Carabobo - Naguanagua,167075,Localidad grande,41,41.0,8.0,15.0,Posible bosque,,Semibosque,ok,VE08,VE0810
Carabobo,Puerto Cabello,municipio,Carabobo - Puerto Cabello,177656,Localidad grande,29,28.0,7.0,10.0,Posible bosque,,Semibosque,ok,VE08,VE0811
Carabobo,San Diego,municipio,Carabobo - San Diego,108628,Localidad grande,33,33.0,8.0,12.0,Posible bosque,,Semibosque,ok,VE08,VE0812
Carabobo,San Joaquín,municipio,Carabobo - San Joaquín,61054,Localidad mediana,14,13.0,3.0,5.0,Semidesierto,,Semidesierto,ok,VE08,VE0813
Carabobo,Valencia,municipio,Carabobo - Valencia,824743,Localidad grande,41,41.0,10.0,15.0,Posible bosque,,Semibosque,ok,VE08,VE0814
Caracas,Parroquia 23 de enero,parroquia,Caracas - Parroquia 23 de enero,70179,Localidad mediana,6,,,3.0,Desierto,,Desierto,ok,VE01,VE010122
Caracas,Parroquia Altagracia,parroquia,Caracas - Parroquia Altagracia,50730,Localidad mediana,7,,,3.0,Desierto,,Desierto,ok,VE01,VE010101
Caracas,Parroquia Antímano,parroquia,Caracas - Parroquia Antímano,116301,Localidad grande,7,,,4.0,Desierto,,Desierto,ok,VE01,VE010102
Caracas,Parroquia Caricuao,parroquia,Caracas - Parroquia Caricuao,64853,Localidad mediana,9,,,4.0,Desierto,,Desierto,ok,VE01,VE010104
Caracas,Parroquia Catedral,parroquia,Caracas - Parroquia Catedral,135916,Localidad grande,9,,,6.0,Semidesierto,,Semidesierto,ok,VE01,VE010105
Caracas,Parroquia Coche,parroquia,Caracas - Parroquia Coche,14726,Localidad pequeña,6,,,4.0,Semidesierto,,Semidesierto,ok,VE01,VE010106
Caracas,Parroquia El Junquito,parroquia,Caracas - Parroquia El Junquito,54124,Localidad mediana,7,,,5.0,Semidesierto,,Semidesierto,ok,VE01,VE010107
Caracas,Parroquia El Paraíso,parroquia,Caracas - Parroquia El Paraíso,46740,Localidad mediana,10,,,6.0,Semibosque,,Semibosque,ok,VE01,VE010108
Caracas,Parroquia El Recreo,parroquia,Caracas - Parroquia El Recreo,108460,Localidad grande,9,,,5.0,Desierto,,Desierto,ok,VE01,VE010109
Caracas,Parroquia El Valle,parroquia,Caracas - Parroquia El Valle,111867,Localidad grande,8,,,5.0,Desierto,,Desierto,ok,VE01,VE010110
Caracas,Parroquia Candelaria,parroquia,Caracas - Parroquia Candelaria,129622,Localidad grande,12,,,7.0,Semibosque,,Semibosque,ok,VE01,VE010103
Caracas,Parroquia La Pastora,parroquia,Caracas - Parroquia La Pastora,72885,Localidad mediana,8,,,4.0,Desierto,,Desierto,ok,VE01,VE010111
Caracas,Parroquia La Vega,parroquia,Caracas - Parroquia La Vega,109075,Localidad grande,10,,,6.0,Semidesierto,,Semidesierto,ok,VE01,VE010112
Caracas,Parroquia Macarao,parroquia,Caracas - Parroquia Macarao,42623,Localidad mediana,2,,,,Desierto,,Desierto,ok,VE01,VE010113
Caracas,Parroquia San Agustín,parroquia,Caracas - Parroquia San Agustín,36691,Localidad mediana,6,,,3.0,Desierto,,Desierto,ok,VE01,VE010114
Caracas,Parroquia San Bernardino,parroquia,Caracas - Parroquia San Bernardino,29702,Localidad mediana,7,,,4.0,Desierto,,Desierto,ok,VE01,VE010115
Caracas,Parroquia San José,parroquia,Caracas - Parroquia San José,38075,Localidad mediana,3,,,1.0,Desierto,,Desierto,ok,VE01,VE010116
Caracas,Parroquia San Juan,parroquia,Caracas - Parroquia San Juan,94674,Localidad mediana,5,,,2.0,Desierto,,Desierto,ok,VE01,VE010117
Caracas,Parroquia San Pedro,parroquia,Caracas - Parroquia San Pedro,66539,Localidad mediana,5,,,3.0,Desierto,,Desierto,ok,VE01,VE010118
Caracas,Parroquia Santa Rosalía,parroquia,Caracas - Parroquia Santa Rosalía,90691,Localidad mediana,8,,,5.0,Semidesierto,,Semidesierto,ok,VE01,VE010119
Caracas,Parroquia Santa Teresa,parroquia,Caracas - Parroquia Santa Teresa,26560,Localidad mediana,8,,,5.0,Semidesierto,,Semidesierto,ok,VE01,VE010120
Caracas,Parroquia Sucre,parroquia,Caracas - Parroquia Sucre,319109,Localidad grande,13,,,7.0,Semibosque,,Semibosque,ok,VE01,VE010121
Cojedes,Anzoátegui (Cojedito),municipio,Cojedes - Anzoátegui (Cojedito),16523,Localidad pequeña,9,9.0,6.0,2.0,Desierto,,Desierto,ok,VE09,VE0901
Cojedes,Falcón (Tinaquillo),municipio,Cojedes - Falcón (Tinaquillo),101913,Localidad grande,14,14.0,10.0,1.0,Desierto,,Desierto,ok,VE09,VE0902
Cojedes,Girardot (El Baúl),municipio,Cojedes - Girardot (El Baúl),11569,Localidad pequeña,9,9.0,6.0,2.0,Desierto,,Desierto,ok,VE09,VE0903
Cojedes,Lima Blanco (Macapo),municipio,Cojedes - Lima Blanco (Macapo),9272,Localidad pequeña,8,8.0,7.0,1.0,Desierto,,Desierto,ok,VE09,VE0904
Cojedes,Pao de San Juan Bautista (El Pao),municipio,Cojedes - Pao de San Juan Bautista (El Pao),16270,Localidad pequeña,9,9.0,5.0,2.0,Desierto,,Desierto,ok,VE09,VE0905
Cojedes,Ricaurte (Libertad),municipio,Cojedes - Ricaurte (Libertad),12319,Localidad pequeña,8,8.0,5.0,2.0,Desierto,,Desierto,ok,VE09,VE0906
Cojedes,Rómulo Gallegos,municipio,Cojedes - Rómulo Gallegos,17730,Localidad pequeña,12,12.0,6.0,2.0,Desierto,,Desierto,ok,VE09,VE0907
Cojedes,Ezequiel Zamora (San Carlos),municipio,Cojedes - Ezequiel Zamora (San Carlos),111463,Localidad grande,15,15.0,12.0,1.0,Desierto,,Desierto,ok,VE09,VE0908
Cojedes,Tinaco,municipio,Cojedes - Tinaco,33556,Localidad mediana,12,12.0,8.0,1.0,Desierto,,Desierto,ok,VE09,VE0909
Falcón,Acosta (San Juan de los Cayos),municipio,Falcón - Acosta (San Juan de los Cayos),20565,Localidad pequeña,13,13.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1101
Falcón,Bolívar (San Luis),municipio,Falcón - Bolívar (San Luis),8995,Localidad pequeña,12,10.0,4.0,1.0,Desierto,,Desierto,ok,VE11,VE1102
Falcón,Buchivacoa (Capatárida),municipio,Falcón - Buchivacoa (Capatárida),24487,Localidad pequeña,11,10.0,4.0,1.0,Desierto,,Desierto,ok,VE11,VE1103
Falcón,Cacique Manaure (Yaracal),municipio,Falcón - Cacique Manaure (Yaracal),11648,Localidad pequeña,14,13.0,4.0,1.0,Desierto,,Desierto,ok,VE11,VE1104
Falcón,Carirubana (Punto Fijo),municipio,Falcón - Carirubana (Punto Fijo),263778,Localidad grande,28,28.0,11.0,2.0,Desierto,,Desierto,ok,VE11,VE1105
Falcón,Colina (La Vela de Coro),municipio,Falcón - Colina (La Vela de Coro),44463,Localidad mediana,24,24.0,8.0,1.0,Desierto,,Desierto,ok,VE11,VE1106
Falcón,Dabajuro,municipio,Falcón - Dabajuro,25358,Localidad mediana,15,13.0,5.0,1.0,Desierto,,Desierto,ok,VE11,VE1107
Falcón,Democracia (Pedregal),municipio,Falcón - Democracia (Pedregal),10719,Localidad pequeña,13,13.0,2.0,1.0,Desierto,,Desierto,ok,VE11,VE1108
Falcón,Falcón (Pueblo Nuevo),municipio,Falcón - Falcón (Pueblo Nuevo),52307,Localidad mediana,23,22.0,12.0,2.0,Desierto,,Desierto,ok,VE11,VE1109
Falcón,Federación (Churuguara),municipio,Falcón - Federación (Churuguara),31912,Localidad mediana,15,12.0,5.0,1.0,Desierto,,Desierto,ok,VE11,VE1110
Falcón,Jacura,municipio,Falcón - Jacura,12034,Localidad pequeña,12,10.0,4.0,1.0,Desierto,,Desierto,ok,VE11,VE1111
Falcón,Los Taques (Santa Cruz de Los Taques),municipio,Falcón - Los Taques (Santa Cruz de Los Taques),43498,Localidad mediana,24,23.0,14.0,2.0,Desierto,,Desierto,ok,VE11,VE1112
Falcón,Mauroa (Mene de Mauroa),municipio,Falcón - Mauroa (Mene de Mauroa),26517,Localidad mediana,13,11.0,4.0,1.0,Desierto,,Desierto,ok,VE11,VE1113
Falcón,Miranda (Santa Ana de Coro),municipio,Falcón - Miranda (Santa Ana de Coro),229217,Localidad grande,28,28.0,11.0,2.0,Desierto,,Desierto,ok,VE11,VE1114
Falcón,Monseñor Iturriza (Chichiriviche),municipio,Falcón - Monseñor Iturriza (Chichiriviche),21180,Localidad pequeña,18,16.0,6.0,1.0,Desierto,,Desierto,ok,VE11,VE1115
Falcón,Palmasola,municipio,Falcón - Palmasola,7938,Localidad pequeña,10,10.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1116
Falcón,Petit (Cabure),municipio,Falcón - Petit (Cabure),14845,Localidad pequeña,12,11.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1117
Falcón,Píritu,municipio,Falcón - Píritu,11174,Localidad pequeña,14,12.0,6.0,1.0,Desierto,,Desierto,ok,VE11,VE1118
Falcón,San Francisco (Mirimire),municipio,Falcón - San Francisco (Mirimire),11730,Localidad pequeña,14,12.0,5.0,1.0,Desierto,,Desierto,ok,VE11,VE1119
Falcón,Silva (Tucacas),municipio,Falcón - Silva (Tucacas),40063,Localidad mediana,17,17.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1120
Falcón,Sucre (La Cruz de Taratara),municipio,Falcón - Sucre (La Cruz de Taratara),6064,Localidad pequeña,10,10.0,1.0,1.0,Desierto,,Desierto,ok,VE11,VE1121
Falcón,Tocópero,municipio,Falcón - Tocópero,5726,Localidad pequeña,11,10.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1122
Falcón,Unión (Santa Cruz de Bucaral),municipio,Falcón - Unión (Santa Cruz de Bucaral),16804,Localidad pequeña,10,10.0,2.0,2.0,Desierto,,Desierto,ok,VE11,VE1123
Falcón,Urumaco,municipio,Falcón - Urumaco,8578,Localidad pequeña,11,11.0,1.0,1.0,Desierto,,Desierto,ok,VE11,VE1124
Falcón,Zamora (Puerto Cumarebo),municipio,Falcón - Zamora (Puerto Cumarebo),36401,Localidad mediana,18,18.0,3.0,1.0,Desierto,,Desierto,ok,VE11,VE1125
Delta Amacuro,Antonio Díaz Curiapo (Curiapo),municipio,Delta Amacuro - Antonio Díaz Curiapo (Curiapo),30116,Localidad mediana,5,4.0,1.0,,Desierto,,Desierto,ok,VE10,VE1001
Delta Amacuro,Casacoima (Sierra Imataca),municipio,Delta Amacuro - Casacoima (Sierra Imataca),36645,Localidad mediana,4,2.0,2.0,,Desierto,,Desierto,ok,VE10,VE1002
Delta Amacuro,Pedernales,municipio,Delta Amacuro - Pedernales,7206,Localidad pequeña,5,4.0,2.0,1.0,Desierto,,Desierto,ok,VE10,VE1003
Delta Amacuro,Tucupita,municipio,Delta Amacuro - Tucupita,115825,Localidad grande,7,7.0,2.0,1.0,Desierto,,Desierto,ok,VE10,VE1004
Guárico,Esteros de Camaguan,municipio,Guárico - Esteros de Camaguan,27104,Localidad mediana,7,3.0,3.0,2.0,Desierto,,Desierto,ok,VE12,VE1201
Guárico,Chaguaramas,municipio,Guárico - Chaguaramas,15263,Localidad pequeña,8,5.0,5.0,2.0,Desierto,,Desierto,ok,VE12,VE1202
Guárico,El Socorro,municipio,Guárico - El Socorro,18024,Localidad pequeña,8,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1203
Guárico,Francisco de Miranda (Calabozo),municipio,Guárico - Francisco de Miranda (Calabozo),156629,Localidad grande,12,7.0,7.0,2.0,Desierto,,Desierto,ok,VE12,VE1208
